route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
396,0000001642025061320250909,0004331692025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331702025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331712025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331722025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331732025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331752025061320250909,Conci "Villazzano 3",0,D551_T0333_Andata_(Camparta_Meano_2)_sub1,1
396,0000001642025061320250909,0004331762025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331772025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331782025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331792025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331802025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331812025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331822025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331832025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331842025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331852025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
408,0000001642025061320250909,0004331882025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331892025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331902025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331912025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331922025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331932025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331942025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331952025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331962025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331972025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331982025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004331992025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000001642025061320250909,0004332002025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332012025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332022025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332032025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332042025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332052025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332062025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332072025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332082025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332092025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332102025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
408,0000001642025061320250909,0004332112025061320250909,Piazza Dante "Dogana",1,D188_F1022a_Ritorno_sub1,1
539,0000000022025061320250909,0004332982025061320250909,Gardolo P.Le Neufahrn Sud,1,D590_T0434_Ritorno_sub2,1
